;food1;food2;amount
9739;grandmother s tart;savory polenta;0.251303
9740;new york steaks with a vanilla and cherry sauce;tomatillo sauce;0.251312
9741;peruvian beef noodle soup (sopa criolla);moroccan chicken stew;0.251326
9742;shrimp cognac and baked cheese grits;white bean and artichoke dip;0.251332
9743;freak n good ribs;chocolate frosting;0.251347
9744;pfeffernusse;tomatillo sauce;0.251358
9745;freak n good ribs;chile rellenos;0.25136
9746;easy tacos;bacon-wilted greens with warm pecan-crusted goat cheese;0.251361
9747;coconut layer cake;rajma masaledar;0.251393
9748;chicken à la king;marbleized brownies;0.251402
9749;thai-style crab salad in papaya;bacon-wilted greens with warm pecan-crusted goat cheese;0.25141
9750;moroccan chicken stew;the ultimate spice-rubbed rib steak;0.251416
9751;gooey butter cake iii;rum caramel cake;0.251419
9752;grilled hawaiian chicken and pineapple sandwiches;dark brown bbq ribs;0.251434
9753;shrimp cognac and baked cheese grits;cranberry salad;0.251435
9754;sweet potato spread;bouillabaise;0.251438
9755;spicy sausage linguine;chocolate frosting;0.251454
9756;miss dixie s remoulade;amazing sun-dried tomato cream sauce;0.251493
9757;candied root vegetables;tomato butter dill sauce;0.251509
9758;hanoi turmeric grilled fish with dill and onion;basic popover;0.251512
9759;geoduck papaya ceviche;the only pizza you ll ever want again: chicken, sun dried tomato, broccoli, ricotta, mozzarella and basil;0.251517
9760;turkey shawarma with crunchy vegetables;oil-poached tuna with escarole and lima beans;0.251529
9761;man of the moment;chicken wings with black-bean sauce;0.251534
9762;ravioli with creamy tomato sauce;rajma masaledar;0.251552
9763;shrimp cognac and baked cheese grits;round 2 recipe - web - cinnamon roll french toast;0.251557
9764;freak n good ribs;grilled chili fries;0.251572
9765;meatballs with angel hair pasta;stilton walnut tarts;0.251574
9766;bacon-wilted greens with warm pecan-crusted goat cheese;pecan crusted chocolate truffle pie;0.251581
9767;peach tea and berry gelatin terrine;beer battered onion rings;0.251591
9768;rajasthani bati;round 2 recipe - web - cinnamon roll french toast;0.251592
9769;chocolate flan cake;spicy sausage linguine;0.251594
9770;mississippi sweet and sour barbeque sauce;southwest cheese grits;0.251597
9771;roasted pumpkin soup;healthy turkey tex mex chili;0.2516
9772;roasted pumpkin soup;white kimchi;0.251606
9773;diane anderson s cabbage with sausage;papaya poached in cinnamon-lime syrup;0.251607
9774;queen s peg;16-minute greek feast to go;0.251607
9775;spicy sausage linguine;uli s apple red cabbage;0.251619
9776;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;feta-and-cauliflower frittata;0.251628
9777;apple stuffed chicken breast;savory polenta;0.251642
9778;café iguana margarita;ployes;0.251644
9779;african chicken in spicy red sauce;coconut milk and rose custard;0.251651
9780;sarah s slow cooker chicken cacciatore;Sorvete Chambinho Nestlé Pote 1l;0.251653
9781;chinese spareribs with teriyaki glaze;smashed peas and ricotta cheese;0.251655
9782;bren s italian meatballs;passover chocolate walnut cookies;0.251674
9783;cajun red beans;fall figs stuffed with stilton cheese, wrapped in prosciutto and chateau elan port wine syrup;0.251676
9784;beer battered onion rings;french lentils with carrots and pearl onions;0.251677
9785;hanoi turmeric grilled fish with dill and onion;hoy lai pad nam prik pow (clams with chili paste and basil);0.251678
9786;lilva rice;corn and bean medley;0.251692
9787;rum caramel cake;classic bhavnagari chillies;0.2517
9788;chicken salad rolls;16-minute greek feast to go;0.251702
9789;pasta with shrimp, oysters, and crabmeat;stilton walnut tarts;0.251713
9790;pasta with shrimp, oysters, and crabmeat;sue s killer martini;0.251728
9791;dashi;bouillabaise;0.25173
9792;crostini with white beans and basil-marinated shrimp;strawberry mint seduction;0.251733
9793;ginger-lemongrass portobello mushroom caps;loaded omelets;0.251735
9794;creme brulee pie;bouillabaise;0.251744
9795;cranberry salad;reuben sandwich;0.25175
9796;saltado de vainitas (peruvian green beans with chicken);café azul s pastry dough;0.251755
9797;baccelli e pecorino: fava beans and pecorino;becky s slow cooker gluten-free thai chicken curry;0.251761
9798;kapusta ii;spicy sausage linguine;0.251765
9799;16-minute greek feast to go;roasted baby pears with herbed goat cheese;0.251772
9800;saltado de vainitas (peruvian green beans with chicken);fried cheese: saganaki;0.251772
9801;16-minute greek feast to go;walnut-raisin cookies;0.25178
9802;vine-ripened tomatoes drizzled with balsamic vinegar;moroccan chicken stew;0.251789
9803;freak n good ribs;brooklyn girl s penne arrabiata;0.2518
9804;pfeffernusse;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;0.251819
9805;thanksgiving turkey with italian meat stuffing;chopped vegetable salad with feta and olives;0.25184
9806;puerto rican cabbage, avocado, and carrot salad;stilton walnut tarts;0.251842
9807;warm thanksgiving salad of clams, mussels, and mushrooms;rum caramel cake;0.251846
9808;chocolate bread pudding with walnuts and chocolate chips;teeny-weeny coxinha;0.251848
9809;pork belly with lentils;quick chicken fajitas;0.251858
9810;rajma masaledar;seared pork tenderloin with fry pan quick fruit chutney;0.251858
9811;saltado de vainitas (peruvian green beans with chicken);poha vadai;0.251864
9812;pan-roasted beef filet in coffee and molasses shellac;marbleized brownies;0.251865
9813;corn bread dressing with ham, fennel, and carrots;rum caramel cake;0.251881
9814;finikia;mini corn dogs with sweet and spicy pepper relish;0.251885
9815;rum caramel cake;grilled marinated tuna with radicchio balsamic and meyer lemon;0.251886
9816;hanoi turmeric grilled fish with dill and onion;baked ziti with johnsonville italian sausage;0.251887
9817;roasted pumpkin soup;maple-pepper salmon bites;0.251887
9818;chicken à la king;classic tiramisu with chocolate;0.251895
9819;rum caramel cake;oven roasted corn;0.251908
9820;nana s yorkshire pudding;teriyaki chicken wings;0.251936
9821;shellfish watermelon ceviche;bouillabaise;0.251939
9822;stilton walnut tarts;udon noodles with japanese clam sauce;0.251942
9823;spicy mexican shrimp cocktail;rum caramel cake;0.251958
9824;baklava cigars;bouillabaise;0.251967
9825;classic tiramisu with chocolate;fall figs stuffed with stilton cheese, wrapped in prosciutto and chateau elan port wine syrup;0.252009
9826;chicken wings with black-bean sauce;blueberry delight;0.252013
9827;roasted pumpkin soup;thai-style crab salad in papaya;0.252026
9828;chicken à la king;geoduck papaya ceviche;0.252051
9829;candied root vegetables;greek-style lemon roasted potatoes;0.252055
9830;chocolate nut shortbread;rajma masaledar;0.252055
9831;roomali roti;marbleized brownies;0.252064
9832;southwest cheese grits;camp david spaghetti with italian sausage;0.252066
9833;swedish christmas glogg;crostini with white beans and basil-marinated shrimp;0.252071
9834;finikia;old timey apricot fried pie;0.252076
9835;grandmother s tart;miss dixie s remoulade;0.252077
9836;roasted pumpkin soup;danish peppernut christmas cookies (pebernodder);0.252082
9837;le choucroute du baron;beer battered onion rings;0.252083
9838;rib-eye steak with vidalia onions;spicy mexican torte;0.252083
9839;roasted pumpkin soup;spicy marinated mozzarella with oregano and capers;0.252088
9840;hearty fettuccini bolognese sauce;rajma masaledar;0.2521
9841;sarah s slow cooker chicken cacciatore;tomatillo sauce;0.252116
9842;hanoi turmeric grilled fish with dill and onion;ice-wine sorbet with white peaches;0.252122
9843;almost authentic caesar salad;hanoi turmeric grilled fish with dill and onion;0.252135
9844;rum caramel cake;tomato butter dill sauce;0.252135
9845;freak n good ribs;mexican style shredded pork;0.25214
9846;spicy sausage linguine;potato chips;0.25214
9847;red bean dip with cumin and cilantro;beer battered onion rings;0.252146
9848;candied root vegetables;blubaugh s blueberry buckle shortcake;0.252146
9849;chinese braised spare ribs;chocolate filled crepes covered with strawberry sauce;0.25218
9850;passover chocolate walnut cookies;honeyed red-onion confit;0.252182
9851;lazy lasagna ii;turkey shawarma with crunchy vegetables;0.252199
9852;candied root vegetables;zucchini pasta bake;0.2522
9853;norwegian christmas cabbage;spinach-artichoke ravioli-lasagna;0.252209
9854;best teriyaki sauce;easy chicken enchiladas;0.25221
9855;pacific cider;becky s slow cooker gluten-free thai chicken curry;0.252233
9856;rum caramel cake;slow-cooked, texas-style beef brisket;0.252236
9857;keerai masiyal;beer battered onion rings;0.252239
9858;garlic feta dip;turkey shawarma with crunchy vegetables;0.25226
9859;miss dixie s remoulade;coconut milk and rose custard;0.252278
9860;crostini with white beans and basil-marinated shrimp;honeyed red-onion confit;0.252318
9861;bacon-wilted greens with warm pecan-crusted goat cheese;moroccan-style cornish game hens;0.25233
9862;loaded baked potato pizza;ricotta gnudi with wild mushroom and truffle sauce;0.252352
9863;shrimp cognac and baked cheese grits;jollyrogers  chilaquiles;0.252368
9864;sweet tea brined fried chicken;spicy sausage linguine;0.252374
9865;spicy sausage linguine;sweet lassi;0.252381
9866;hanoi turmeric grilled fish with dill and onion;peach and blackberry tart with oatmeal-cookie crust;0.252408
9867;crostini with white beans and basil-marinated shrimp;microwave ham;0.252409
9868;chicken wings with black-bean sauce;tomato pepper sauce;0.252413
9869;crostini with white beans and basil-marinated shrimp;spaghetti olio;0.252413
9870;hanoi turmeric grilled fish with dill and onion;chicken with roasted red pepper, chorizo and sweet pea sauce over rice;0.252454
9871;laura s maryland crab cakes;cranberry nut bread i;0.252464
9872;baba ghanouj;roasted pumpkin soup;0.252471
9873;toad in the hole iii;easy chicken enchiladas;0.252498
9874;mango avocado salsa;beer battered onion rings;0.252509
9875;ninfa s green tomato salsa;creamy parmesan polenta;0.252517
9876;peches melba;spicy sausage linguine;0.25252
9877;guinness® dogs;veal spiedini - stuffed, skewered, and grilled;0.252523
9878;almond, chocolate, and pistachio spumoni;nana s yorkshire pudding;0.252531
9879;mississippi sweet and sour barbeque sauce;passover chocolate walnut cookies;0.252536
9880;spicy sausage linguine;new england bean dip;0.252537
9881;candied root vegetables;lemon parsley bruschetta;0.252547
9882;indonesian satay;rum caramel cake;0.25255
9883;freak n good ribs;risotto milanese;0.252573
9884;chicken wings with black-bean sauce;the ultimate spice-rubbed rib steak;0.252573
9885;rava corn dhokla;16-minute greek feast to go;0.25258
9886;roasted pumpkin soup;amazin  gazpacho;0.252606
9887;laura s maryland crab cakes;cannelloni or stuffed shells with veal and sweet sausage;0.252611
9888;broiled steak with horseradish cream;spiced roasted turkey;0.252615
9889;brown rice and vegetable risotto;chicken wings with black-bean sauce;0.252622
9890;le choucroute du baron;16-minute greek feast to go;0.252623
9891;rum caramel cake;shellfish watermelon ceviche;0.252658
9892;smashed peas and ricotta cheese;steamed and curry flashed oysters;0.252665
9893;tropical quinoa salsa salad;easy chicken enchiladas;0.252665
9894;candied root vegetables;seared ahi with brown rice and pineapple-ginger broth;0.252667
9895;danish pastry braid;veal spiedini - stuffed, skewered, and grilled;0.252673
9896;chocolate bread pudding with walnuts and chocolate chips;chocolate mousse: mousse au chocolat;0.252678
9897;rosemary tomato leek soup;beer battered onion rings;0.252682
9898;ye abesha gomen (collard greens);beer battered onion rings;0.252691
9899;freak n good ribs;italian meatball and cheese tortellini soup;0.252712
9900;laura s maryland crab cakes;shrimp cocktail;0.252713
9901;grilled tri-tip with oregon herb rub;rum caramel cake;0.252717
9902;bouillabaise;anise walnut biscotti;0.25272
9903;16-minute greek feast to go;sweet miso soup with baby turnips;0.252738
9904;freak n good ribs;hoy lai pad nam prik pow (clams with chili paste and basil);0.252739
9905;black bean cumin dip;cheesy italian bread wedges;0.25277
9906;roasted pumpkin soup;rice with summer squash, red peppers, and roasted pepitas;0.252773
9907;french onion soup with homemade beef stock;marbleized brownies;0.252776
9908;roasted pumpkin soup;hanky pankies;0.252782
9909;ginger-lemongrass portobello mushroom caps;makai patal bhaji;0.252788
9910;ricotta gnudi with wild mushroom and truffle sauce;luscious lassi;0.252804
9911;shrimp cocktail;stilton walnut tarts;0.252813
9912;lilva rice;noodle pancakes with caraway;0.252815
9913;danish pastry braid;chocolate bread pudding with walnuts and chocolate chips;0.252821
9914;lilva rice;becky s slow cooker gluten-free thai chicken curry;0.25283
9915;all-purpose cheese spread;rajma masaledar;0.252835
9916;roasted pumpkin soup;charlie trotter s roasted garlic;0.252841
9917;thanksgiving pioneer-style herb roasted turkey;beer battered onion rings;0.252851
9918;chocolate bread pudding with walnuts and chocolate chips;pork belly with lentils;0.252865
9919;roasted pumpkin soup;classic bhavnagari chillies;0.25287
9920;ham hocks with navy beans;reuben sandwich;0.252877
9921;16-minute greek feast to go;baked ziti with johnsonville italian sausage;0.252892
9922;asparagus soup with lemon crème fraîche;bouillabaise;0.252906
9923;papaya poached in cinnamon-lime syrup;apple and quince crisp with rum raisins;0.252913
9924;belgian squirrel;finikia;0.25292
9925;punch ice block;spicy tomato relish;0.252924
9926;chicken gumbo soup;geoduck papaya ceviche;0.252926
9927;spicy sausage linguine;frankie beans;0.252933
9928;crayfish or shrimp pasta;ployes;0.252944
9929;puerto rican cabbage, avocado, and carrot salad;quick chicken fajitas;0.25295
9930;moroccan chicken stew;chicken athena;0.252957
9931;pacific cider;jain potato stew;0.25296
9932;oxtails with gravy;beer battered onion rings;0.252961
9933;nana s yorkshire pudding;shrimp cognac and baked cheese grits;0.252967
9934;ginger-lemongrass portobello mushroom caps;caramelized flan from pinhao;0.252971
9935;cajun red beans;salsa borracha (drunk salsa);0.252979
9936;spicy sausage linguine;pan seared branzino and tomatoes stuffed with pecorino romano and couscous;0.252991
9937;strawberry mint seduction;marbleized brownies;0.252992
9938;beefy broccoli & cheddar burritos;passover chocolate walnut cookies;0.253
9939;16-minute greek feast to go;rava laddu;0.253019
9940;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;veal spiedini - stuffed, skewered, and grilled;0.253035
9941;roasted pumpkin soup;elijah s phulourie;0.253037
9942;pfeffernusse;duck legs confit cooked in a pouch (“confit” de canard en sous vide);0.253103
9943;freak n good ribs;chai tea ice cream;0.253104
9944;red apple martini;bacon-wilted greens with warm pecan-crusted goat cheese;0.253114
9945;freak n good ribs;tomatoes stuffed with lamb and rice (yemistes domates me rizi);0.253132
9946;methi paneer;southwest cheese grits;0.253135
9947;oven-fried chicken breasts;smashed peas and ricotta cheese;0.25315
9948;turkey shawarma with crunchy vegetables;tía rosa and ruth eichner s sweet-and-sour carrots;0.253162
9949;finikia;noodles with ham in a creamy tomato sauce;0.253165
9950;spicy sausage linguine;tomatoes stuffed with lamb and rice (yemistes domates me rizi);0.253199
9951;stella s stellar apple spice cake;bouillabaise;0.253206
9952;freak n good ribs;filipino lumpia;0.253213
9953;crostini with white beans and basil-marinated shrimp;dunbar macaroni with beef;0.253218
9954;licorice pudding;bacon-wilted greens with warm pecan-crusted goat cheese;0.253229
9955;flatbread with dukka;bacon-wilted greens with warm pecan-crusted goat cheese;0.253234
9956;grilled portobello mushrooms;bouillabaise;0.253241
9957;hanoi turmeric grilled fish with dill and onion;italian chicken soup;0.253243
9958;shrimp cognac and baked cheese grits;tennessee stack cake;0.253253
9959;beer battered onion rings;scandinavian-style rare-cooked salmon with fava beans and peas;0.253256
9960;spiced roasted turkey;laura s maryland crab cakes;0.253261
9961;spicy sausage linguine;french lentils with carrots and pearl onions;0.253268
9962;hanoi turmeric grilled fish with dill and onion;chocolate flan cake;0.253274
9963;spinach-artichoke ravioli-lasagna;italian vegetable lentil soup;0.253285
9964;challah ii;bouillabaise;0.253299
9965;hanoi turmeric grilled fish with dill and onion;oven-roasted turkey roulade;0.253307
9966;hanoi turmeric grilled fish with dill and onion;colcannon (irish potato salad);0.253315
9967;spinach appam;mutter dhingri;0.253325
9968;aida s scalloped zucchini;marbleized brownies;0.253328
9969;orange rice pudding;bacon-wilted greens with warm pecan-crusted goat cheese;0.253345
9970;pork belly with lentils;smashed peas and ricotta cheese;0.25336
9971;duck with walnut sherry vinaigrette;creamy parmesan polenta;0.253366
9972;pheasant and cabbage chowder;bouillabaise;0.253367
9973;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;teriyaki chicken wings;0.253368
9974;reuben sandwich;steamed and curry flashed oysters;0.253369
9975;ricotta gnudi with wild mushroom and truffle sauce;the ultimate spice-rubbed rib steak;0.253378
9976;rajma masaledar;maple-glazed sweet potatoes;0.253382
9977;grilled sea bass with miso-mustard sauce;easy chicken enchiladas;0.253385
9978;ranch hands  grilled tri-tip;hanoi turmeric grilled fish with dill and onion;0.253393
9979;moroccan peanut couscous with peas;rajma masaledar;0.253415
9980;salsa borracha (drunk salsa);marbleized brownies;0.253423
9981;famous hot fudge topping;reuben sandwich;0.253434
9982;jollyrogers  chilaquiles;reuben sandwich;0.253453
9983;freak n good ribs;orange rice pudding;0.25348
9984;quick chicken fajitas;italian vegetable lentil soup;0.253497
9985;creamy parmesan polenta;helva;0.2535
9986;tomato pepper sauce;easy chicken enchiladas;0.253501
9987;finikia;whole wheat rigatoni and cauliflower, wilted arugula, feta & olives;0.253503
9988;freak n good ribs;masala palak paratha;0.253512
9989;16-minute greek feast to go;amish sugar cookies;0.25352
9990;roomali roti;stilton walnut tarts;0.253528
9991;cajun spiced pork chops;beer battered onion rings;0.253531
9992;ricotta gnudi with wild mushroom and truffle sauce;meatballs with angel hair pasta;0.253539
9993;quick and easy spinach rice (palak rice);round 2 recipe - web - cinnamon roll french toast;0.253557
9994;classic tiramisu with chocolate;best teriyaki sauce;0.253561
9995;tunisian-style catfish nuggets;bouillabaise;0.253562
9996;pacific cider;honey plums;0.253572
9997;hula girl cocktail;thanksgiving turkey with italian meat stuffing;0.253573
9998;moong soup;delicious spinach manicotti;0.253585
9999;chicken with a creamy marsala sauce;crostini with white beans and basil-marinated shrimp;0.253599
10000;freak n good ribs;deep fried camembert with raspberry sauce;0.253602
10001;campechana extra (mexican seafood cocktail);feta-and-cauliflower frittata;0.253606
10002;hanoi turmeric grilled fish with dill and onion;roasted leg of lamb with saffron and olive salsa;0.253615
10003;chocolate mousse: mousse au chocolat;ployes;0.253616
10004;chocolate bread pudding with walnuts and chocolate chips;ham hocks with navy beans;0.253618
10005;candied root vegetables;tomato zucchini soup;0.253639
10006;16-minute greek feast to go;Macarrão de Sêmola Grano Duro Fusilli Renata Superiore Pacote 500g;0.253656
10007;laura s maryland crab cakes;jalapeno cheddar cornbread;0.253663
10008;sarah rose s dad s made-up kind of a salad sort of thing;finikia;0.253665
10009;finikia;smothered hamburger steak;0.253679
10010;bacon-wilted greens with warm pecan-crusted goat cheese;oatmeal cookies with chocolate chunks and candied ginger;0.253679
10011;spicy mexican shrimp cocktail;candied root vegetables;0.253684
10012;miso and soy chilean sea bass;bacon-wilted greens with warm pecan-crusted goat cheese;0.253685
10013;turkey shawarma with crunchy vegetables;bagel chips with smoked salmon, capers, and lemon;0.253697
10014;turkey shawarma with crunchy vegetables;polish sausage and pierogy haluski;0.253704
10015;the only pizza you ll ever want again: chicken, sun dried tomato, broccoli, ricotta, mozzarella and basil;marbleized brownies;0.253714
10016;grilled skirt steak with homemade asian barbeque marinade;easy chicken enchiladas;0.253721
10017;ricotta gnudi with wild mushroom and truffle sauce;udon noodles with japanese clam sauce;0.253734
10018;pfeffernusse;moong soup;0.253749
10019;spicy mexican torte;quiche (southern egg pie);0.253763
10020;honey soy dipping sauce (for dumplings or potstickers);chicken wings with black-bean sauce;0.253767
10021;classic greek spinach;rajma masaledar;0.253782
10022;beer battered onion rings;oven-roasted turkey roulade;0.253788
10023;chunky chili cornbread;bouillabaise;0.253825
10024;finikia;herb and almond tapenade;0.253844
10025;spicy mexican shrimp cocktail;chicken wings with black-bean sauce;0.253844
10026;amazin  gazpacho;bouillabaise;0.253846
10027;creamy parmesan polenta;fragola pazzo (crazy strawberry);0.253851
10028;chocolate filled crepes covered with strawberry sauce;gobi pakora;0.253861
10029;grandma s noodles i;bouillabaise;0.253865
10030;spaghetti olio;smashed peas and ricotta cheese;0.253907
10031;grilled hawaiian chicken and pineapple sandwiches;grilled mangoes with herbs;0.25391
10032;capirotada;spicy sausage linguine;0.253921
10033;caramelized flan from pinhao;marbleized brownies;0.253946
10034;onion, tomato, and bell pepper citrus salsa;dark brown bbq ribs;0.253963
10035;dashi;chicken wings with black-bean sauce;0.253964
10036;african chicken in spicy red sauce;lentil soup kuppin;0.253983
10037;bacon-wilted greens with warm pecan-crusted goat cheese;chocolate frosting;0.253988
10038;corn and bean medley;cheesy italian pull apart bread;0.254001
10039;profiterole dough;candied root vegetables;0.254016
10040;rum caramel cake;curried cottage fries;0.254023
10041;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;laura s maryland crab cakes;0.254042
10042;jalapeno ranch salad dressing;easy chicken enchiladas;0.254056
10043;easy mexican sopes;easy chicken enchiladas;0.254064
10044;roasted pumpkin soup;shellfish watermelon ceviche;0.254067
10045;corn bread dressing with ham, fennel, and carrots;ricotta gnudi with wild mushroom and truffle sauce;0.254079
10046;honey plums;champagne sabayon on top of milk chocolate sauce and fresh berries;0.254091
10047;bouillabaise;lamb shank braised in white wine with rosemary;0.254106
10048;cajun red beans;soya vadi kababs;0.25412
10049;sunday s apple pie;beer battered onion rings;0.254132
10050;makai patal bhaji;mutter dhingri;0.254133
10051;seared ahi with brown rice and pineapple-ginger broth;bouillabaise;0.254151
10052;beer battered onion rings;mesa fresca;0.254155
10053;caramelized flan from pinhao;reuben sandwich;0.254156
10054;teeny-weeny coxinha;quick chicken fajitas;0.254157
10055;finikia;moroccan-spiced lamb burgers with beet, red onion, and orange salsa;0.254159
10056;corn and bean medley;sesame encrusted seared tuna;0.254163
10057;ricotta gnudi with wild mushroom and truffle sauce;elijah s phulourie;0.254165
10058;grilled skirt steak with homemade asian barbeque marinade;creamy parmesan polenta;0.254176
10059;moroccan chicken stew;azuki ice cream (japanese red beans ice cream);0.254179
10060;ginger lime pork tenderloin;16-minute greek feast to go;0.254181
10061;grilled tri-tip with oregon herb rub;chicken wings with black-bean sauce;0.254183
10062;norwegian christmas cabbage;stilton walnut tarts;0.254189
10063;colcannon (irish potato salad);spicy sausage linguine;0.254194
10064;yellow pickled eggs;moroccan chicken stew;0.254197
10065;cheese rosti;beer battered onion rings;0.254197
10066;falafel;bouillabaise;0.254201
10067;yellow pickled eggs;ricotta gnudi with wild mushroom and truffle sauce;0.254209
10068;hanoi turmeric grilled fish with dill and onion;jerk chicken and tomato salad;0.254232
10069;cheesy italian bread wedges;lentil soup kuppin;0.254241
10070;chicken wings with black-bean sauce;huevos rancheros in tortilla cups;0.254257
10071;simple and easy coq au vin;rajma masaledar;0.25426
10072;moroccan chicken stew;butter;0.254273
10073;roasted pumpkin soup;zucchini blossom and fontina panini;0.254277
10074;gingerbread boys;stilton walnut tarts;0.254277
10075;freak n good ribs;grillhaxe (grilled eisbein, pork shanks);0.254278
10076;vegan arepas made with polenta;reuben sandwich;0.254283
10077;rum caramel cake;raspberry linzer cookies;0.254283
10078;rum caramel cake;ragu alla mugellana;0.254296
10079;spicy sausage linguine;blushing martini;0.2543
10080;miso-glazed broiled halibut;rajma masaledar;0.254304
10081;lebanese stuffed grape leaves;bacon-wilted greens with warm pecan-crusted goat cheese;0.254314
10082;candied root vegetables;grilled portobello mushrooms;0.254317
10083;grilled santa barbara prawns with blood orange glaze;passover chocolate walnut cookies;0.254336
10084;finikia;best beef enchiladas;0.25434
10085;danish pastry braid;shrimp cognac and baked cheese grits;0.254342
10086;lilva rice;veal spiedini - stuffed, skewered, and grilled;0.254362
10087;roasted pumpkin soup;butter garlic naan;0.254363
10088;hanoi turmeric grilled fish with dill and onion;walnut-raisin cookies;0.254372
10089;broiled steak with horseradish cream;austin, texas barbecue paste;0.254373
10090;finikia;blueberry cherry pie;0.254383
10091;spicy sausage linguine;potato hash with baked eggs;0.2544
10092;turkey shawarma with crunchy vegetables;cape cod turkey salad;0.254402
10093;vine-ripened tomatoes drizzled with balsamic vinegar;stilton walnut tarts;0.254415
10094;hanky pankies;bouillabaise;0.254432
10095;lamb madras curry;bacon-wilted greens with warm pecan-crusted goat cheese;0.254448
10096;stilton walnut tarts;honeyed red-onion confit;0.254453
10097;korean chicken wings;lentil soup kuppin;0.254466
10098;mini italian mud pies;laura s maryland crab cakes;0.254474
10099;lilva rice;sarah s slow cooker chicken cacciatore;0.254494
10100;roasted pumpkin soup;brie and asparagus in phyllo;0.254494
10101;16-minute greek feast to go;peach and blackberry tart with oatmeal-cookie crust;0.254533
10102;hanoi turmeric grilled fish with dill and onion;pan-fried flounder;0.254537
10103;butter chicken;creamy parmesan polenta;0.254566
10104;vine-ripened tomatoes drizzled with balsamic vinegar;broiled steak with horseradish cream;0.254581
10105;lilva rice;shrimp cognac and baked cheese grits;0.25459
10106;turkey shawarma with crunchy vegetables;coconut layer cake;0.254595
10107;roasted pumpkin soup;the big apple pie;0.2546
10108;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;teriyaki chicken wings;0.254623
10109;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;chocolate filled crepes covered with strawberry sauce;0.254631
10110;cinnamon-almond cookies;candied root vegetables;0.254639
10111;freak n good ribs;italian chicken soup;0.254642
10112;spicy sausage linguine;peach and blackberry tart with oatmeal-cookie crust;0.254655
10113;moroccan chicken stew;basic buttermilk corn bread;0.25466
10114;roasted pumpkin soup;tabbouleh;0.254698
10115;jain potato stew;baccelli e pecorino: fava beans and pecorino;0.254706
10116;finikia;risotto with artichoke hearts, prosciutto, and red bell pepper;0.254706
10117;grilled santa barbara prawns with blood orange glaze;geoduck papaya ceviche;0.254709
10118;ranch hands  grilled tri-tip;freak n good ribs;0.254759
10119;microwave ham;geoduck papaya ceviche;0.254765
10120;colorado lamb and couscous crostini;marbleized brownies;0.254775
10121;methi paneer;cajun red beans;0.254779
10122;pork-belly buns;papaya poached in cinnamon-lime syrup;0.254784
10123;ginger-lemongrass portobello mushroom caps;vegan arepas made with polenta;0.254784
10124;chinese braised spare ribs;classic tiramisu with chocolate;0.254786
10125;grilled hawaiian chicken and pineapple sandwiches;pork belly with lentils;0.254791
10126;easy mexican sopes;classic tiramisu with chocolate;0.254794
10127;candied root vegetables;perfect baked poutine;0.254794
10128;baked pears with sauternes custard sauce;chicken wings with black-bean sauce;0.254807
10129;spicy sausage linguine;california turkey burger;0.254808
10130;aunt anne s sesame cookies;rajma masaledar;0.25481
10131;oil-poached tuna with escarole and lima beans;rajma masaledar;0.254826
10132;basic pot roast;spicy mexican torte;0.254828
10133;rum caramel cake;danish peppernut christmas cookies (pebernodder);0.254835
10134;southern italian thanksgiving stuffing;pacific cider;0.254843
10135;fish mousseline with sauce nantua;bacon-wilted greens with warm pecan-crusted goat cheese;0.254843
10136;chocolate-whiskey truffles souffles with caramel sauce;chocolate filled crepes covered with strawberry sauce;0.254854
10137;roasted pumpkin soup;easy tacos;0.254872
10138;seafood pasta jambalaya;freak n good ribs;0.254873
10139;spicy sausage linguine;walnut-raisin cookies;0.254887
10140;herbed fillet with red wine reduction;chicken wings with black-bean sauce;0.254891
10141;ployes;fall figs stuffed with stilton cheese, wrapped in prosciutto and chateau elan port wine syrup;0.254899
10142;bacon-wilted greens with warm pecan-crusted goat cheese;roasted parsnips with thyme;0.254919
10143;lamb stew with green beans;chicken wings with black-bean sauce;0.254933
10144;crostini with white beans and basil-marinated shrimp;fall figs stuffed with stilton cheese, wrapped in prosciutto and chateau elan port wine syrup;0.254941
10145;tomatillo sauce;coconut milk and rose custard;0.25495
10146;broiled steak with horseradish cream;mushroom, radicchio, and smoked mozzarella lasagne;0.254982
10147;hanoi turmeric grilled fish with dill and onion;baked shrimp in chipotle sauce;0.254983
10148;white bean and artichoke dip;chocolate filled crepes covered with strawberry sauce;0.255016
10149;lebkuchen v;beer battered onion rings;0.255017
10150;broiled steak with horseradish cream;croissant french toast with soft caramel apples;0.255025
10151;simple chicken curry;thanksgiving turkey with italian meat stuffing;0.255026
10152;hanoi turmeric grilled fish with dill and onion;central american tacos;0.255029
10153;salmon pie;moroccan chicken stew;0.255031
10154;freak n good ribs;maple sweet and white mashed potatoes;0.255052
10155;tarallucci with salty caramel;rajma masaledar;0.255056
10156;cajun red beans;steamed and curry flashed oysters;0.255063
